MOF,Metal,Uptake,Error,Pore Volume,Void Fraction,Density,Surface Area,Pore Diameter
BEPNOB,Zn,0.279373695981009,0.0104826129905585,0.737821,0.552322,0.890303,1362.53,10.36311
SEVLEM,Cd,0.295777957821231,0.0238344881058178,0.695704,0.616038,0.963135,1977.87,9.1752
LURRIA,Cu,0.646786464428439,0.043132306373591,2.07895,0.915523,0.406542,4585.5,22.37295
VEMMEG,Mn,0.330071142705964,0.0305528329039973,0.829459,0.676135,0.816125,2386.0,7.14137
FUNBEW,Zn,0.451433573161576,0.000287968905222611,1.12321,0.775226,0.668714,2873.69,11.16014
LOWQIX,Zn,0.362024439750679,0.0146480493078838,0.8088,0.719095,0.895525,2319.22,8.78853
BAZGAM,Cu,0.875972127455005,0.115565265346115,7.45792,0.965423,0.126526,6580.94,42.79816
OSAVUA,Ca,0.270608683419161,0.0324573622342123,0.719324,0.631428,0.884314,1693.12,5.76863
GUPCAW,Cd,0.375525378574048,0.0242846948545756,0.902278,0.665381,0.814725,2164.03,13.64671
RAVXAP,Mg,0.719743890086505,0.0573449197908342,2.96442,0.830307,0.286105,3359.89,34.85961
CAXTUS,Zn,0.408292839983411,0.0258659385586139,0.98562,0.701855,0.710309,2001.1,13.47664
SONVEX,Cu,0.359151453758449,0.0223288929280481,0.820698,0.764375,0.879921,2185.88,13.20026
WEHJOK,Zn,0.409081640029935,0.0226391628347225,0.952685,0.789517,0.778372,2748.57,11.74533
MOXPUL,Cu,0.392441741972309,0.00971081057834737,0.917195,0.628988,0.744524,1996.71,12.29446
REGRAY,Zn,0.345868446447462,0.0177916469173327,0.76591,0.734965,0.925798,2251.23,9.45537
QAQRUW,Mg,0.274481812519752,0.0114154924459184,0.728742,0.621669,0.851853,1914.09,6.65732
MIDCAF,Zn,0.338186142045767,0.0104826129905585,0.783321,0.631693,0.853326,1789.96,11.10741
HEXVEM,Cu,0.765335809289458,0.047441695473191,3.58247,0.929757,0.251734,5455.15,28.4313
EQERAU,Mg,0.307508194248124,0.0268835739792369,0.766998,0.658331,0.830188,1926.96,8.66462
VEBHUG,Zn,0.616588994761839,0.0522060123967141,1.88786,0.87262,0.44999,4301.87,17.27048
EHIJAH,Zn,0.653103916953543,0.0513285203646003,2.20576,0.882653,0.385139,4502.81,18.49076
AGAXOV,Cu,0.341014184891298,0.0375960402487069,0.807567,0.736793,0.887006,2760.67,7.04953
UXUPIN,Cu,0.362725674275619,0.0254138637123095,1.05586,0.708814,0.669934,3053.24,7.3374
IYUQEZ,Na,0.406438146642359,0.010412694719949,1.06102,0.633982,0.637403,1782.51,14.22736
FAYPIG,Zn,0.389593933565014,0.0231684377412888,0.948183,0.681186,0.74228,2207.71,11.51198
LEVDIB,Cu,0.391987910053973,0.042608060086588,0.911042,0.716033,0.771367,2349.87,12.81022
LUYHAP,Cu,0.495751248838048,0.0300342367877019,1.26158,0.829954,0.618537,3546.24,12.05622
VETSOE,Mn,0.51763008952597,0.0329482981764756,1.37835,0.785963,0.550125,2071.29,20.8996
UYOXUC,Cd,0.332815979108943,0.0211980374063153,0.784599,0.73285,0.877846,2486.4,6.51014
UTEWUM,Cu,0.424568757663849,0.0213750405926711,0.990326,0.808081,0.736094,1751.85,14.99321
XALXUF,Cu,0.392139561503344,0.0407973979138124,0.921768,0.773946,0.78852,2224.0,16.53276
TEDHAN,Zn,0.325471165207687,0.0192334596736883,0.797797,0.651283,0.899209,2086.42,10.07922
ADASAB,Cu,0.688170076055475,0.0628944972256994,2.52819,0.883535,0.343942,4800.23,22.82164
IMIXEI,Cu,0.351680668640449,0.0339037848565956,0.88786,0.704498,0.807372,2853.16,7.09926
BEPNIV,Zn,0.288966720117222,0.0189667334525236,0.734152,0.551412,0.893387,1380.95,10.32219
VEMMIK,Mn,0.438210566978354,0.0376518735406141,1.02901,0.740464,0.723031,2177.31,14.01454
QAGQEW,Cd,0.364992421944116,0.0176797817303277,0.738525,0.779788,0.959417,1245.47,16.48295
LEHXUT,Cu,0.640735394675267,0.0718574441770118,2.06184,0.875299,0.407171,4559.86,24.95668
HABQUY,Cu,0.727201274669788,0.0594848326592048,3.04394,0.913288,0.289452,5749.51,25.71531
KOJZEP,Cu,0.545300253227284,0.0336602913067749,1.54347,0.784148,0.514247,4618.56,15.61444
TADWEC,Zn,0.35584560558965,0.0211023570438595,0.848142,0.636841,0.782876,1784.95,12.9835
ADATAC,Zn,0.694335788253178,0.044718150441601,2.57212,0.904943,0.33727,5145.19,26.33515
ECAHAT,Zn,0.26437959235048,0.00978070897135547,0.717924,0.534409,0.854274,1178.64,12.33039
DAKVUI,Cu,0.355113657557157,0.0222406600619765,0.863934,0.764114,0.825495,2204.41,10.79495
ALAMUW,Cu,0.484344338410484,0.0260206875929001,1.1764,0.82677,0.64997,3572.24,11.92678
CAGSAG,Zn,0.282095414817342,0.0139935235980141,0.688087,0.649731,0.961699,1828.26,9.02799
PARNIH,Cu,0.32225543857595,0.0125199622854848,0.758879,0.608898,0.861017,2133.83,8.32489
SUPLOF,Zn,0.34536305180426,0.0228752960332358,0.846158,0.679576,0.800346,2397.66,9.82615
SUNLET,Cu,0.454616828199698,0.0601809136051726,1.18052,0.71155,0.621573,2439.72,14.87522
BOXFAW,Cd,0.344192153052767,0.0110613220871807,0.836646,0.582066,0.792268,1380.16,17.62142
